Salary,Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Last Name,First Name,Position,Team,GP
5000000,77-03-18,Trencin,,SVK,SVK,81,250,1996,3,56,L,Chara,Zdeno,D,BOS,75
5000000,82-04-18,Regina,SK,CAN,CAN,74,215,2000,1,6,L,Hartnell,Scott,LW,CBJ,78
575000,87-11-21,Camrose,AB,CAN,CAN,71,180,,,,L,Stollery,Karl,D,N.J,11
3100000,87-06-14,Toronto,ON,CAN,CAN,70,184,2005,1,25,L,Cogliano,Andrew,LW/C/RW,ANA,82
8000000,88-06-07,Vancouver,BC,CAN,CAN,75,236,2006,2,50,L,Lucic,Milan,LW,EDM,82
6000000,89-03-28,Guelph,ON,CAN,CAN,73,200,2007,1,9,L,Couture,Logan,C/LW,S.J,73
925000,97-07-26,Rauma,,FIN,FIN,71,172,2015,2,35,L,Aho,Sebastian,RW/LW,CAR,82
3500000,92-09-08,Chur,,CHE,CHE,74,211,2010,1,5,L,Niederreiter,Nino,RW,MIN,82
575000,92-05-31,Shawinigan,QC,CAN,CAN,71,198,2010,3,71,L,Bournival,Michael,LW,T.B,19
6000000,91-08-02,Vancouver,BC,CAN,CAN,74,211,2009,1,4,L,Kane,Evander,LW,BUF,70
3000000,94-01-20,Helsingborg,,SWE,SWE,75,205,2012,1,6,L,Lindholm,Hampus,D,ANA,66
725000,93-03-28,Chelyabinsk,,RUS,RUS,71,191,2011,5,148,L,Nesterov,Nikita,D,MTL/T.B,48
667500,95-02-24,Sudbury,ON,CAN,CAN,72,198,2013,2,58,L,Bertuzzi,Tyler,LW,DET,7
4250000,89-11-29,Edmonton,AB,CAN,CAN,69,164,2008,6,156,R,Spurgeon,Jared,D,MIN,76
600000,93-02-25,Cesk_ Budejovice,,CZE,CZE,72,203,2011,6,158,L,Sedlak,Lukas,C/LW,CBJ,62
925000,94-06-20,Pickering,ON,CAN,CAN,70,185,,,,L,Caggiula,Drake,LW/C,EDM,60
800000,82-08-19,Summerside,PE,CAN,CAN,72,193,2000,1,25,L,Ott,Steve,C/LW,DET/MTL,53
10000000,85-09-17,Moscow,,RUS,RUS,75,239,2004,1,1,R,Ovechkin,Alex,LW/RW,WSH,82
700000,86-09-30,Toronto,ON,CAN,CAN,72,193,2005,5,150,L,O'Reilly,Cal,C,BUF,11
5000000,87-01-21,St. Andrews,MB,CAN,CAN,72,196,2005,5,132,L,Helm,Darren,C,DET,50
840000,93-07-20,Belleville,ON,CAN,CAN,70,188,2011,3,68,L,Cousins,Nick,C/LW,PHI,60
600000,88-08-24,Maple Ridge,BC,CAN,CAN,69,187,,,,L,Hunt,Brad,D,NSH/STL,12
925000,93-04-20,Pembroke Pines,FL,USA,USA,71,180,2012,3,78,L,Gostisbehere,Shayne,D,PHI,76
660000,92-10-05,Glace Bay,NS,CAN,CAN,75,202,2011,3,76,R,Shaw,Logan,C/RW,ANA,55
2075000,91-12-07,St. Catharines,ON,CAN,CAN,75,226,2010,1,21,L,Sheahan,Riley,C,DET,80
7000000,85-12-27,Quebec City,QC,CAN,USA,72,202,2005,2,44,L,Stastny,Paul,C,STL,66
5800000,86-08-31,Plymouth,MN,USA,USA,77,225,2004,1,5,R,Wheeler,Blake,RW,WPG,82
1150000,94-01-05,Riga,,LVA,LVA,74,200,2012,1,14,L,Girgensons,Zemgus,C/LW,BUF,75
925000,96-07-30,Waterford,MI,USA,USA,73,190,2014,1,15,L,Larkin,Dylan,C/LW,DET,80
925000,92-09-06,Grand Forks,ND,USA,USA,74,201,2012,6,181,R,Ladue,Paul,D,L.A,22
5500000,81-01-12,Stockholm,,SWE,SWE,72,194,2000,1,29,L,Kronwall,Niklas,D,DET,57
2800000,93-11-12,Praha,,CZE,CZE,74,215,2012,1,17,L,Hertl,Tomas,C/RW,S.J,49
4350000,85-10-30,Milwaukee,WI,USA,USA,74,214,2004,1,13,R,Stafford,Drew,RW/LW,BOS/WPG,58
925000,95-08-05,Anaheim,CA,USA,USA,75,217,2013,2,31,L,McCoshen,Ian,D,FLA,3
3275000,80-12-02,North York,ON,CAN,CAN,73,225,,,,R,Ward,Joel,RW/C,S.J,78
1200000,87-10-30,Toronto,ON,CAN,CAN,74,239,2006,1,18,R,Stewart,Chris,RW/LW,MIN,79
1300000,81-06-11,Sudbury,ON,CAN,CAN,71,181,1999,5,128,L,MacKenzie,Derek,C/LW,FLA,82
1300000,92-01-02,Moscow,,RUS,RUS,75,210,2011,7,205,R,Marchenko,Alexey,D,DET/TOR,41
650000,81-12-10,Lac La Biche,AB,CAN,CAN,74,217,,,,L,Bourque,Rene,RW/LW,COL,65
5000000,93-03-15,Kitchener,ON,CAN,CAN,75,207,2011,1,7,R,Scheifele,Mark,C,WPG,79
692500,91-11-28,Plano,TX,USA,USA,71,200,2011,3,75,L,Coleman,Blake,C/LW,N.J,23
832500,95-03-21,Winterthur,,CHE,CHE,75,210,2013,1,18,L,Mueller,Mirco,D,S.J,4
775000,87-04-27,Thunder Bay,ON,CAN,USA,72,191,2005,2,36,L,Chorney,Taylor,D,WSH,18
4250000,90-12-18,Ornskoldsvik,,SWE,SWE,78,223,2009,1,2,L,Hedman,Victor,D,T.B,79
925000,95-03-07,Bronxville,NY,USA,USA,74,207,2013,2,42,R,Santini,Steven,D,N.J,38
925000,94-01-11,Lewisville,TX,USA,USA,74,191,2012,2,36,L,Kerdiles,Nicolas,LW,ANA,1
1000000,83-11-29,Regina,SK,CAN,CAN,73,213,2003,9,265,L,Glass,Tanner,LW,NYR,11
692500,94-06-01,Pickering,ON,CAN,CAN,74,205,,,,L,Renouf,Dan,D,DET,1
900000,92-10-29,Sault Ste. Marie,ON,CAN,CAN,73,196,2012,5,151,R,Miller,Colin,D,BOS,61
575000,93-05-26,Innisfil,ON,CAN,CAN,74,205,2011,3,86,R,Leivo,Josh,LW,TOR,13
667500,94-10-06,Omaha,NE,USA,USA,71,180,2013,3,77,L,Guentzel,Jake,C/LW,PIT,40
4000000,90-03-07,Detroit,MI,USA,USA,75,192,,,,L,DeKeyser,Danny,D,DET,82
650000,93-02-05,Calgary,AB,CAN,CAN,72,195,2011,2,32,R,Rattie,Ty,RW,CAR/STL,9
1200000,92-03-03,Edmonton,AB,CAN,CAN,76,206,2010,2,36,R,Petrovic,Alex,D,FLA,49
667500,92-03-06,Kingsford,MI,USA,USA,76,212,2010,5,148,L,Gravel,Kevin,D,L.A,49
667500,97-07-29,Edmonton,AB,CAN,CAN,73,186,2015,2,51,L,Guhle,Brendan,D,BUF,3
6000000,83-07-16,Winnipeg,MB,CAN,CAN,73,192,2002,2,54,L,Keith,Duncan,D,CHI,80
925000,96-07-22,St. Gallen,,CHE,CHE,70,193,2014,1,11,L,Fiala,Kevin,LW,NSH,54
600000,86-12-29,Spokane,WA,USA,USA,71,170,,,,R,Ryan,Derek,C,CAR,67
800000,87-02-14,Thunder Bay,ON,CAN,CAN,71,185,2005,4,107,L,Pyatt,Tom,LW/C,OTT,82
4500000,92-05-06,Edmonton,AB,CAN,CAN,69,182,2010,5,147,R,Gallagher,Brendan,RW,MTL,64
925000,95-03-10,St. Clair,MI,USA,USA,69,188,2013,4,121,L,Motte,Tyler,LW/C,CHI,33
900000,98-07-29,Chesterfield,MO,USA,USA,70,168,2016,1,7,L,Keller,Clayton,C/LW,ARI,3
675000,90-04-23,Minneapolis,MN,USA,USA,74,205,,,,R,Tennyson,Matt,D,CAR,45
6000000,92-05-16,Toronto,ON,CAN,CAN,71,200,2010,1,7,L,Skinner,Jeff,LW/C/RW,CAR,79
600000,87-02-13,Coquitlam,BC,CAN,CAN,71,199,,,,L,Street,Ben,C,DET,6
1000000,86-07-28,Turku,,FIN,FIN,73,193,2004,1,19,L,Korpikoski,Lauri,LW/RW,CBJ/DAL,69
4000000,77-12-11,Bern,,CHE,CHE,71,191,2004,9,262,L,Streit,Mark,D,PHI/PIT,68
792500,94-01-30,Berlin,,DEU,USA,69,180,2012,5,138,R,O'Regan,Daniel,C/LW,S.J,3
1700000,91-09-25,G_vle,,SWE,SWE,71,186,2010,2,51,R,Jarnkrok,Calle,C,NSH,81
600000,88-01-04,Waltham,MA,USA,USA,73,206,2006,3,65,L,Strait,Brian,D,WPG,5
4000000,91-12-05,Windsor,ON,CAN,USA,73,207,2010,1,12,L,Fowler,Cam,D,ANA,80
3667000,88-08-23,Sodertalje,,SWE,SWE,71,186,2007,6,168,L,Hagelin,Carl,LW,PIT,61
832500,95-03-28,Ste-Agathe,QC,CAN,CAN,71,188,2013,1,3,L,Drouin,Jonathan,LW,T.B,73
3000000,93-07-20,Karlstad,,SWE,SWE,75,220,2011,1,19,L,Klefbom,Oscar,D,EDM,82
5400000,94-10-03,Arlington,TX,USA,USA,76,220,2013,1,4,R,Jones,Seth,D,CBJ,75
5000000,91-04-30,Boxford,MA,USA,USA,75,228,2009,1,19,L,Kreider,Chris,LW/C,NYR,75
1650000,91-05-08,Vanier,ON,CAN,CAN,76,215,2009,2,54,L,Gelinas,Eric,D,COL,27
792500,94-11-15,Tarrytown,NY,USA,USA,75,200,2013,3,66,R,Pesce,Brett,D,CAR,82
925000,95-04-30,Buffalo,NY,USA,USA,72,190,2013,6,159,L,Malone,Sean,C,BUF,1
3500000,86-09-14,Laurier-Station,QC,CAN,CAN,67,176,,,,L,Desharnais,David,C,EDM/MTL,49
4000000,89-10-20,Greenwich,CT,USA,USA,73,221,2008,1,7,L,Wilson,Colin,LW/C,NSH,70
2600000,92-05-08,Dorchester,MA,USA,USA,77,215,2010,1,24,L,Hayes,Kevin,C/RW,NYR,76
3500000,87-02-20,Pisek,,CZE,CZE,78,226,2005,1,17,L,Hanzal,Martin,C,ARI/MIN,71
925000,95-10-24,Sewell,NJ,USA,USA,71,183,2014,1,19,R,Deangelo,Anthony,D,ARI,39
575000,93-04-06,Markham,ON,CAN,CAN,72,192,2012,3,71,L,Richard,Tanner,C,T.B,3
620000,92-05-11,Pontiac,MI,USA,USA,71,192,2010,3,80,R,Rust,Bryan,RW,PIT,57
2500000,87-11-15,Los Angeles,CA,USA,USA,74,210,,,,R,Miller,Kevan,D,BOS,58
3800000,89-11-24,Kitchener,ON,CAN,CAN,72,180,2009,5,130,L,Hoffman,Mike,LW/C,OTT,74
792500,89-07-27,Ivry-sur-Seine,,FRA,FRA,71,191,,,,L,Auvitu,Yohann,D/LW,N.J,25
575000,89-02-20,Toronto,ON,CAN,CAN,71,174,2007,6,164,R,Didomenico,Chris,C/RW,OTT,3
575000,93-11-05,North Vancouver,BC,CAN,CAN,73,200,2012,2,50,R,Sissons,Colton,C,NSH,58
742500,95-12-14,Moscow,,RUS,RUS,72,180,2014,2,33,L,Barbashev,Ivan,C,STL,30
5750000,89-07-18,Victoria,BC,CAN,CAN,74,210,2007,5,129,L,Benn,Jamie,LW,DAL,77
800000,81-05-12,North Vancouver,BC,CAN,CAN,72,200,,,,L,Kearns,Bracken,C,NYI,2
675000,93-02-20,Milford,MI,USA,USA,71,200,2011,5,129,L,Pietila,Blake,LW/C,N.J,10
4050000,90-07-04,Minnetonka,MN,USA,USA,74,200,2008,1,17,L,Gardiner,Jake,D,TOR,82
742500,93-10-14,Nizhny Tagil,,RUS,RUS,71,190,,,,L,Soshnikov,Nikita,RW,TOR,56
575000,94-05-22,Hamilton,ON,CAN,CAN,74,203,,,,L,McEneny,Evan,D,VAN,1
2600000,88-04-12,Evanston,IL,USA,USA,72,200,2008,6,177,R,Wingels,Tommy,C/RW/LW,OTT/S.J,73
800000,92-12-09,Edmonton,AB,CAN,CAN,72,199,2011,1,23,L,Morrow,Joe,D,BOS,17
832500,94-02-18,Winchester,ON,CAN,CAN,74,193,2012,1,10,L,Koekkoek,Slater,D,T.B,29
925000,98-05-07,Alvkarleby,,SWE,FIN,76,203,2016,1,4,R,Puljujarvi,Jesse,RW,EDM,28
4400000,87-12-23,Helsinki,,FIN,FIN,74,212,2008,3,65,L,Lehtera,Jori,C,STL,64
2400000,93-03-26,Dublin,OH,USA,USA,76,212,2011,1,20,R,Murphy,Connor,D,ARI,77
5000000,83-11-01,North York,ON,CAN,CAN,73,200,2003,9,263,L,Moulson,Matt,LW,BUF,81
2500000,91-01-03,Hamilton,ON,CAN,CAN,70,180,2009,1,11,R,Ellis,Ryan,D,NSH,71
600000,89-04-07,Brampton,ON,CAN,CAN,70,195,2007,5,132,L,Terry,Chris,LW/RW,MTL,14
600000,90-07-14,Burlington,ON,CAN,CAN,73,197,,,,R,Jooris,Josh,RW/C,ARI/NYR,54
1250000,80-05-09,Edmonton,AB,CAN,CAN,71,205,,,,L,Fiddler,Vernon,C/LW,N.J/NSH,59
925000,95-07-04,Georgetown,ON,CAN,CAN,74,205,2013,1,29,L,Dickinson,Jason,C,DAL,10
1750000,82-07-20,St. Agapit,QC,CAN,CAN,73,198,2000,2,55,L,Vermette,Antoine,C/LW,ANA,72
575000,88-07-26,Traverse City,MI,USA,USA,74,208,2008,7,184,R,Redmond,Zach,D,MTL,16
2000000,85-08-12,Edmonton,AB,CAN,CAN,72,195,,,,L,Garbutt,Ryan,C/LW,ANA,27
650000,92-04-18,Ellwood City,PA,USA,USA,76,230,2010,2,60,R,Johns,Stephen,D,DAL,61
3500000,89-05-08,Windsor,ON,CAN,CAN,75,220,2008,5,148,L,Martin,Matt,LW/RW,TOR,82
2000000,87-01-08,Salt Lake City,UT,USA,USA,73,201,2006,1,17,R,Lewis,Trevor,C/RW/LW,L.A,82
1200000,85-05-21,Warren,MI,USA,USA,71,200,2004,7,224,L,Hunwick,Matt,D,TOR,72
3550000,79-09-26,Regina,SK,CAN,CAN,72,195,,,,L,Kunitz,Chris,LW,PIT,71
832500,94-05-30,Oakville,ON,CAN,CAN,73,190,2012,1,20,L,Laughton,Scott,C/LW,PHI,2
767500,95-07-05,Langley,BC,CAN,CAN,73,185,2014,4,116,L,Heinen,Danton,C,BOS,8
875000,93-07-01,Orangeville,ON,CAN,CAN,75,215,2011,2,44,R,Ritchie,Brett,RW,DAL,78
6000000,92-07-31,Vancouver,BC,CAN,CAN,75,218,2010,1,4,R,Johansen,Ryan,C/RW,NSH,82
6750000,79-07-02,London,ON,CAN,CAN,76,220,1997,1,1,L,Thornton,Joe,C,S.J,79
792500,96-02-02,Palos,IL,USA,USA,72,187,2014,2,58,L,Dvorak,Christian,C/LW,ARI,78
2700000,83-10-09,Toronto,ON,CAN,CAN,71,195,2002,2,43,L,Daley,Trevor,D,PIT,56
575000,92-01-13,Ann Arbor,MI,USA,USA,76,204,2010,1,18,R,Watson,Austin,LW,NSH,77
4750000,86-09-07,Judique,NS,CAN,CAN,73,204,2006,6,160,L,MacDonald,Andrew,D,PHI,73
575000,90-07-15,Island Park,NY,USA,USA,73,210,2010,6,168,L,Bitetto,Anthony,D,NSH,29
575000,86-03-12,Detroit,MI,USA,USA,71,191,2004,4,119,L,Porter,Kevin,C,PIT,2
832500,95-04-26,St-Lin,QC,CAN,CAN,77,235,2013,1,21,L,Gauthier,Frederik,C,TOR,21
6000000,92-01-31,Brampton,ON,CAN,CAN,73,200,2010,1,2,R,Seguin,Tyler,C/RW,DAL,82
2825000,93-09-27,Regina,SK,CAN,CAN,73,211,2012,1,2,L,Murray,Ryan,D,CBJ,60
3600000,90-01-30,Ozieri,,ITA,CHE,74,209,2008,1,19,L,Sbisa,Luca,D,VAN,82
600000,91-06-08,Keswick,ON,CAN,CAN,72,193,,,,L,Hanley,Joel,D,MTL,7
600000,78-09-03,Vlasim,,CZE,CZE,73,210,1996,4,105,R,Rozsival,Michal,D,CHI,22
7000000,84-01-19,Edmonton,AB,CAN,CAN,74,227,2002,2,61,R,Boychuk,Johnny,D,NYI,66
874125,93-04-04,Hamilton,ON,CAN,CAN,75,205,,,,L,Gaudet,Tyler,C,ARI,4
1000000,89-06-23,"Garden River, First Nations",ON,CAN,CAN,75,219,2009,7,186,L,Nolan,Jordan,C/LW/RW,L.A,46
925000,96-10-28,North Chelmsford,MA,USA,USA,74,196,2015,1,2,R,Eichel,Jack,C,BUF,61
1100000,89-07-12,Ottawa,ON,CAN,CAN,73,216,2008,5,139,L,Borowiecki,Mark,D,OTT,70
925000,97-03-07,Mississauga,ON,CAN,CAN,75,185,2015,1,3,L,Strome,Dylan,C,ARI,7
600000,85-07-15,Prince Albert,SK,CAN,CAN,75,220,2004,9,279,R,Cracknell,Adam,RW/C,DAL,69
4000000,89-02-21,Woodstock,ON,CAN,CAN,75,216,2007,5,141,L,Muzzin,Jake,D,L.A,82
1800000,85-03-06,Toronto,ON,CAN,CAN,74,206,2004,9,265,L,Winnik,Daniel,LW/C,WSH,72
650000,93-10-05,Pelhrimov,,CZE,CZE,73,194,2012,2,49,R,Frk,Martin,RW,CAR,2
4100000,87-06-06,Eksjo,,SWE,SWE,75,197,2005,4,108,L,Hjalmarsson,Niklas,D,CHI,73
742500,94-01-23,Syracuse,NY,USA,USA,75,219,2012,2,59,L,Nieves,Cristoval,C/LW,NYR,1
1500000,91-01-24,Windsor,ON,CAN,CAN,75,207,2009,1,13,R,Kassian,Zack,RW,EDM,79
4250000,78-12-20,Voskresensk,,RUS,RUS,72,200,1998,6,162,L,Markov,Andrei,D,MTL,62
832500,95-04-05,London,ON,CAN,CAN,72,223,2013,1,9,L,Horvat,Bo,C,VAN,81
575000,88-09-24,Boston,MA,USA,USA,73,198,2007,5,135,L,Carey,Paul,C,WSH,6
600000,90-08-26,Williamsville,NY,USA,USA,73,200,,,,L,Schneider,Cole,LW/RW,BUF,4
925000,92-12-10,Plantation,FL,USA,USA,78,225,2012,7,210,L,Megna,Jaycob,D,ANA,1
725000,96-12-14,Joliette,QC,CAN,CAN,75,204,2015,2,39,L,Greer,A.J.,LW,COL,5
4000000,83-08-13,Pardubice,,CZE,CZE,72,185,2001,1,13,R,Hemsky,Ales,RW,DAL,15
650000,89-02-01,Valencia,CA,USA,USA,71,193,,,,R,Harper,Shane,RW,FLA,14
645000,93-09-23,Helsinki,,FIN,FIN,75,198,2012,6,176,L,Lindbohm,Petteri,D,STL,7
800000,92-04-20,Winnipeg,MB,CAN,CAN,77,236,2010,1,10,R,McIlrath,Dylan,D,FLA/NYR,6
4500000,95-09-02,Tampere,,FIN,FIN,75,213,2013,1,2,L,Barkov,Aleksander,C,FLA,61
4500000,86-03-19,Regina,SK,CAN,CAN,73,195,,,,R,Bozak,Tyler,C,TOR,78
2500000,84-02-20,Concord,NH,USA,USA,73,206,,,,R,Lovejoy,Ben,D,N.J,82
2250000,89-02-08,Calgary,AB,CAN,CAN,72,189,2007,1,4,L,Hickey,Thomas,D,NYI,76
575000,90-03-19,Sudbury,ON,CAN,CAN,73,210,2008,2,50,L,Gaunce,Cameron,D,PIT,12
2500000,83-05-13,Grand Ledge,MI,USA,USA,75,236,2002,2,44,R,Greene,Matt,D,L.A,26
817500,97-04-15,Chicago,IL,USA,USA,74,214,2015,2,32,R,Fischer,Christian,RW,ARI,7
575000,88-09-23,Morges,,CHE,CHE,71,200,2007,3,73,R,Weber,Yannick,D,NSH,73
575000,89-05-10,Grand Prairie,AB,CAN,CAN,74,200,,,,R,Rowney,Carter,RW/C,PIT,27
2500000,81-03-24,Bolton,CT,USA,USA,75,210,2000,1,13,L,Hainsey,Ron,D,CAR/PIT,72
800000,90-03-23,Montreal,QC,CAN,CAN,73,207,2008,6,152,L,Barberio,Mark,D,COL/MTL,60
925000,94-04-11,Brantford,ON,CAN,CAN,72,192,2014,2,55,R,Montour,Brandon,D,ANA,27
3900000,84-08-14,Kelowna,BC,CAN,CAN,73,204,,,,L,Gorges,Josh,D,BUF,66
575000,85-02-08,Ottawa,ON,CAN,CAN,73,195,,,,L,Smith,Trevor,C/RW,NSH,1
7500000,85-04-10,Edmonton,AB,CAN,CAN,75,219,2003,1,9,L,Phaneuf,Dion,D,OTT,81
575000,87-09-01,Toronto,ON,CAN,CAN,71,180,,,,L,Zolnierczyk,Harry,LW,NSH,24
4000000,79-01-12,Starˆ Lubovna,,SVK,SVK,73,207,1997,1,12,L,Hossa,Marian,RW,CHI,73
5600000,83-09-27,Edmonton,AB,CAN,CAN,76,221,2002,1,3,L,Bouwmeester,Jay,D,STL,81
925000,98-06-25,Nizhnekamsk,,RUS,RUS,75,215,2016,1,9,L,Sergachev,Mikhail,D,MTL,4
3200000,82-12-23,Jindrichuv Hradec,,CZE,CZE,74,210,,,,R,Michalek,Zbynek,D,ARI,3
650000,86-05-07,Elk River,MN,USA,USA,74,201,,,,R,Prosser,Nate,D,MIN,39
2100000,88-04-20,Hartford,CT,USA,USA,73,196,2007,6,173,L,Bonino,Nick,C,PIT,80
4500000,90-10-29,Lipetsk,,RUS,RUS,73,204,2009,1,14,L,Kulikov,Dmitry,D,BUF,47
3250000,81-10-04,Cobourg,ON,CAN,CAN,73,188,2000,1,28,R,Williams,Justin,RW,WSH,80
1100000,83-03-02,Kingston,ON,CAN,CAN,73,205,2001,2,57,L,McClement,Jay,C,CAR,65
575000,89-12-14,Burlington,ON,CAN,CAN,68,180,,,,L,Conacher,Cory,C/LW,T.B,11
2750000,88-08-05,Winnipeg,MB,CAN,CAN,74,206,2008,4,111,R,Weise,Dale,RW,PHI,64
775000,91-02-22,LaSalle,QC,CAN,CAN,73,216,2009,3,84,L,Deslauriers,Nicolas,LW,BUF,42
715000,94-07-18,Markham,ON,CAN,CAN,72,200,2012,6,162,L,Blandisi,Joseph,LW/C,N.J,27
875000,93-05-31,Pori,,FIN,FIN,75,205,2011,1,16,R,Armia,Joel,RW,WPG,57
2200000,89-12-24,Brandon,MB,CAN,CAN,71,188,2008,5,127,L,Calvert,Matt,LW,CBJ,65
1000000,92-12-05,Strathroy,ON,CAN,CAN,74,205,2011,1,17,L,Beaulieu,Nathan,D,MTL,74
1300000,91-01-14,Toronto,ON,CAN,CAN,74,200,2009,1,15,L,Holland,Peter,C,ARI/TOR,48
1100000,87-07-26,Victoria,BC,CAN,CAN,74,200,,,,L,Benn,Jordie,D,DAL/MTL,71
4875000,90-08-16,St. Malo,MB,CAN,CAN,74,205,2008,2,53,R,Hamonic,Travis,D,NYI,49
925000,95-07-28,Milwaukee,WI,USA,USA,74,209,2013,4,118,R,Fasching,Hudson,RW,BUF,10
3200000,92-02-26,Oulu,,FIN,FIN,70,184,2010,1,9,L,Granlund,Mikael,C,MIN,81
925000,93-04-20,Brockville,ON,CAN,CAN,74,207,2012,5,147,L,Hutton,Ben,D,VAN,71
2600000,84-01-19,Vienna,,AUT,AUT,74,214,2003,1,5,R,Vanek,Thomas,LW/RW,DET/FLA,68
2300000,89-02-21,Ann Arbor,MI,USA,USA,73,219,2007,1,18,L,Cole,Ian,D,PIT,81
900000,80-08-03,Thornhill,ON,CAN,CAN,72,192,2000,3,95,L,Moore,Dominic,C/LW,BOS,82
925000,91-10-29,Moscow,,RUS,RUS,74,195,,,,R,Zaitsev,Nikita,D,TOR,82
1250000,85-08-12,Kitchener,ON,CAN,CAN,74,216,2003,4,132,L,Quincey,Kyle,D,CBJ/N.J,73
675000,88-07-11,Winston-Salem,NC,USA,USA,71,198,2008,6,169,R,Smith,Ben,RW/C,COL/TOR,40
635000,93-01-16,Brampton,ON,CAN,CAN,75,205,2012,4,96,L,Thomson,Ben,LW,N.J,3
632500,92-08-18,New Hartford,NY,USA,USA,74,205,,,,L,Zalewski,Michael,LW/C,VAN,1
575000,92-03-25,Zagreb,,HRV,HRV,74,200,,,,R,Rendulic,Borna,RW/C,VAN,1
575000,86-02-04,Chesterfield,MI,USA,USA,72,190,,,,R,Oleksy,Steve,D,PIT,11
792500,94-06-06,Oulu,,FIN,FIN,73,186,2015,7,189,L,Nutivaara,Markus,D,CBJ,66
4300000,88-08-26,Scarborough,ON,CAN,CAN,74,185,2007,2,61,R,Simmonds,Wayne,RW/LW,PHI,82
2000000,80-11-25,Indianapolis,IN,USA,USA,70,185,2000,5,159,L,Liles,John-Michael,D,BOS,36
832500,94-01-16,Estevan,SK,CAN,CAN,72,208,2012,1,8,L,Pouliot,Derrick,D,PIT,11
4000000,81-06-16,Grimsby,ON,CAN,CAN,73,200,2001,5,151,R,Bieksa,Kevin,D,ANA,81
8750000,85-07-24,Ancienne-Lorette,QC,CAN,CAN,73,195,2003,2,45,R,Bergeron,Patrice,C,BOS,79
5500000,88-06-09,Dorval,QC,CAN,CAN,73,200,2008,7,186,R,Demers,Jason,D,FLA,81
1125000,87-01-20,Winnipeg,MB,CAN,CAN,73,225,2005,5,156,R,Reaves,Ryan,RW,STL,80
1050000,89-03-18,Thunder Bay,ON,CAN,CAN,76,221,2007,3,78,R,Bortuzzo,Robert,D,STL,38
700000,92-11-24,Stockholm,,SWE,SWE,73,200,2011,5,126,L,Claesson,Fredrik,D,OTT,33
5250000,90-07-15,Massena,NY,USA,USA,75,228,2008,1,3,R,Bogosian,Zach,D,BUF,56
5000000,95-09-01,Halifax,NS,CAN,CAN,72,205,2013,1,1,R,MacKinnon,Nathan,C/RW,COL,82
625000,91-05-27,Walpole,MA,USA,USA,72,195,2010,5,122,R,Wagner,Chris,C/RW,ANA,43
4500000,80-06-04,Sorel,QC,CAN,CAN,73,208,1998,3,75,L,Beauchemin,Francois,D,COL,81
950000,88-04-14,Saskatoon,SK,CAN,CAN,76,225,2006,3,68,R,Gryba,Eric,D,EDM,40
1100000,92-11-11,Ottawa,ON,CAN,CAN,70,180,2011,4,96,R,Pageau,Jean-Gabriel,C,OTT,82
595000,93-05-01,Bromont,QC,CAN,CAN,72,179,,,,R,Gaudreau,Frederick,C,NSH,9
4500000,85-08-17,Vancouver,BC,CAN,CAN,75,215,2004,7,214,R,Brouwer,Troy,RW,CGY,74
1250000,83-03-24,Hull,QC,CAN,CAN,72,200,2001,9,264,R,Parenteau,PA,RW,N.J/NSH,67
692500,95-07-01,Buffalo,NY,USA,USA,75,214,2013,2,52,R,Bailey,Justin,RW,BUF,32
925000,94-08-16,Toronto,ON,CAN,CAN,75,210,2012,3,65,L,Pelech,Adam,D,NYI,44
4838000,90-06-07,Chatham,ON,CAN,CAN,73,182,2008,4,114,L,Brodie,T.J.,D,CGY,82
750000,90-12-27,Cap-Rouge,QC,CAN,CAN,69,174,,,,R,Marchessault,Jonathan,C,FLA,75
5200000,89-12-16,Brondby,,DNK,DNK,72,210,2008,1,8,L,Boedker,Mikkel,LW/RW,S.J,81
600000,93-02-12,Plano,TX,USA,USA,73,205,2011,1,21,R,Noesen,Stefan,RW,ANA/N.J,44
925000,94-07-08,Ann Arbor,MI,USA,USA,73,206,2013,4,104,L,Copp,Andrew,C,WPG,64
4750000,87-01-01,Sollentuna,,SWE,SWE,71,189,2005,7,230,R,Hornqvist,Patric,RW,PIT,70
650000,94-01-14,Toronto,ON,CAN,CAN,72,185,2012,6,156,R,Brown,Connor,RW,TOR,82
4500000,90-02-06,Brantford,ON,CAN,CAN,72,195,2008,3,82,L,Henrique,Adam,C,N.J,82
800000,94-02-02,Fergus,ON,CAN,CAN,72,185,2012,2,47,L,McGinn,Brock,LW,CAR,57
925000,92-10-24,Eden Prairie,MN,USA,USA,68,178,2011,3,91,L,Rau,Kyle,C,FLA,24
1000000,91-12-02,Nassjo,,SWE,SWE,72,190,2010,6,157,R,Fast,Jesper,RW/LW,NYR,68
2000000,84-12-18,Hingham,MA,USA,USA,78,244,2003,1,26,L,Boyle,Brian,C/LW,T.B/TOR,75
925000,94-02-27,Pointe-Claire,QC,CAN,CAN,74,192,2012,1,23,L,Matheson,Michael,D,FLA,81
600000,92-07-25,Campbellville,ON,CAN,CAN,72,186,,,,L,Sgarbossa,Michael,C,ANA/FLA,38
832500,95-02-02,Salmon Arm,BC,CAN,CAN,72,209,2013,1,17,R,Lazar,Curtis,C/RW,CGY/OTT,37
